location_name,country,latitude,longitude,timestamp,temperature,humidity,wind_speed,pressure,precipitation,sensor_id
Accra,Ghana,5.55,-0.2167,2024-10-29 09:00:00,26.1,94,11.2,1012.0,0.54,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-30 09:00:00,27.2,84,6.5,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-10-31 09:00:00,28.1,84,9.4,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-01 09:15:00,29.2,75,13.3,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-02 09:15:00,29.3,79,10.4,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-03 09:15:00,27.9,68,4.3,1014.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-04 09:00:00,29.2,79,4.0,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-05 09:00:00,28.2,84,4.3,1011.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-06 09:00:00,28.1,84,9.4,1010.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-07 09:00:00,27.0,89,5.0,1011.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-08 09:00:00,27.3,79,11.9,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-09 09:00:00,28.1,79,7.6,1013.0,1.22,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-10 08:45:00,27.3,79,7.2,1013.0,1.69,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-11 09:00:00,28.0,84,10.8,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-12 09:00:00,28.2,84,7.2,1011.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-13 09:00:00,28.3,84,5.8,1011.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-14 09:15:00,29.1,79,9.4,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-15 09:00:00,25.2,94,13.7,1011.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-16 08:45:00,28.3,84,8.3,1011.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-17 08:45:00,29.3,79,10.4,1012.0,0.01,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-18 08:45:00,28.1,84,11.9,1012.0,0.02,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-19 09:00:00,28.1,84,6.1,1012.0,0.05,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-20 08:45:00,28.3,79,4.0,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-21 08:45:00,27.1,89,10.8,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-22 08:45:00,28.2,84,10.4,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-23 09:00:00,28.1,84,8.3,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-24 08:30:00,27.4,89,3.6,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-25 08:30:00,28.4,84,3.6,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-26 09:00:00,27.1,89,9.0,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-27 08:45:00,28.0,79,8.6,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-28 11:00:00,31.2,63,10.1,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-29 10:45:00,31.3,63,11.5,1014.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-11-30 10:15:00,30.4,66,10.1,1014.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-01 10:45:00,33.2,39,6.5,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-02 10:45:00,26.5,74,9.0,1011.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-03 10:45:00,30.2,70,10.4,1011.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-04 10:15:00,31.2,66,5.0,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-05 10:30:00,31.2,66,4.7,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-06 10:45:00,30.2,70,6.8,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-07 10:15:00,30.1,70,9.4,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-08 10:30:00,30.1,66,4.0,1011.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-09 11:00:00,30.1,70,11.5,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-10 10:45:00,30.4,66,5.8,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-11 10:15:00,30.3,66,12.2,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-12 10:30:00,31.1,66,13.0,1012.0,0.03,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-13 11:00:00,31.3,66,7.6,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-14 11:00:00,31.4,66,10.1,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-15 10:30:00,30.2,70,3.6,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-16 10:45:00,31.3,66,4.7,1014.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-17 10:45:00,30.2,70,3.6,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-18 10:30:00,30.0,70,3.6,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-19 10:00:00,29.4,54,8.6,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-20 10:45:00,29.6,29,15.8,1014.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-21 10:45:00,29.7,29,9.7,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-22 10:15:00,29.8,30,3.6,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-23 10:45:00,28.8,49,5.0,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-24 10:45:00,28.5,59,6.8,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-25 10:15:00,28.8,59,5.4,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-26 10:15:00,29.1,62,5.0,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-27 10:45:00,31.2,66,5.8,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-28 10:45:00,31.0,66,6.1,1013.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-29 10:15:00,31.2,66,7.9,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-30 10:00:00,30.1,75,6.1,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2024-12-31 10:30:00,30.1,70,6.8,1012.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2025-01-01 10:30:00,29.3,79,6.5,1011.0,0.0,Accra_Ghana
Accra,Ghana,5.55,-0.2167,2025-01-02 10:15:00,31.2,71,10.8,1011.0,0.0,Accra_Ghana
